Tamanho_letra,N_sub_menus,Cor_fundo,Responsividade,Icones,Idade,Oculos,Dispositivo,Site
pequena,2,preto,sim,simbolos,16,nao,0,streaming
grande,0,branco,nao,letras,50,sim,1,research
medio,2,branco,sim,simbolos,36,sim,0,research
pequeno,4,preto,sim,simbolos,28,sim,2,streaming
medio,2,branco,nao,letras,43,nao,1,research
grande,4,preto,sim,simbolos,37,nao,2,streaming
pequeno,0,preto,sim,letras,25,nao,1,research
grande,0,branco,nao,letras,60,sim,1,streaming
pequena,2,preto,sim,simbolos,16,nao,0,streaming
grande,0,branco,nao,letras,70,sim,1,research
medio,2,branco,sim,simbolos,36,sim,0,research
pequeno,4,preto,sim,simbolos,28,sim,2,streaming
medio,2,branco,nao,letras,43,nao,1,research
grande,4,preto,sim,simbolos,37,nao,2,streaming
pequeno,0,preto,sim,letras,25,nao,1,research
grande,0,branco,nao,letras,60,sim,1,streaming
medio,4,preto,sim,simbolos,24,sim,1,streaming
medio,4,preto,sim,simbolos,24,sim,1,streaming
pequeno,2,branco,nao,simbolos,50,nao,2,research
