Tamanho_letra,Responsividade,Icones,Oculos,Dispositivo,Site
pequena,sim,simbolos,sim,notebook,streaming
grande,nao,letras,sim,celular,research
medio,nao,simbolos,nao,celular,streaming
pequeno,sim,simbolos,sim,notebook,research
medio,sim,letras,sim,notebook,research
grande,sim,simbolos,nao,tablet,streaming
pequeno,sim,letras,nao,celular,streaming
grande,nao,letras,sim,notebook,streaming
pequena,nao,simbolos,sim,celular,streaming
grande,nao,letras,nao,notebook,streaming
medio,sim,simbolos,sim,celular,research
pequeno,sim,simbolos,sim,tablet,research
medio,nao,letras,sim,notebook,research
grande,sim,simbolos,nao,tablet,streaming
pequeno,nao,letras,nao,tablet,streaming
grande,nao,letras,sim,celular,streaming
medio,sim,simbolos,nao,notebook,research
medio,nao,simbolos,sim,tablet,research
pequeno,sim,letras,nao,notebook,streaming
grande,sim,simbolos,nao,tablet,streaming
medio,nao,letras,sim,celular,research
medio,nao,simbolos,nao,notebook,research
pequeno,sim,letras,sim,tablet,streaming
grande,nao,letras,nao,notebook,streaming
medio,sim,simbolos,nao,tablet,research
medio,sim,simbolos,sim,celular,research
pequeno,nao,letras,nao,notebook,streaming
grande,nao,simbolos,sim,tablet,streaming
medio,sim,letras,nao,notebook,research
medio,nao,simbolos,nao,tablet,research
pequeno,sim,letras,sim,celular,streaming
grande,sim,letras,nao,notebook,streaming
medio,nao,simbolos,sim,tablet,research
pequeno,nao,simbolos,nao,notebook,research
grande,sim,letras,nao,tablet,streaming
medio,nao,simbolos,sim,celular,streaming
medio,sim,letras,nao,notebook,research
pequeno,sim,simbolos,sim,tablet,research
grande,nao,letras,nao,notebook,streaming
medio,nao,letras,nao,tablet,streaming
pequeno,sim,simbolos,sim,celular,research
grande,nao,simbolos,nao,notebook,research
medio,sim,letras,sim,tablet,streaming
medio,sim,simbolos,nao,notebook,streaming
pequeno,nao,letras,nao,tablet,research
grande,nao,simbolos,sim,celular,research
medio,sim,letras,nao,notebook,streaming
pequeno,nao,letras,sim,tablet,streaming
grande,sim,simbolos,nao,notebook,research
medio,sim,simbolos,nao,tablet,research
medio,nao,letras,sim,celular,streaming
pequeno,nao,simbolos,nao,notebook,streaming
grande,sim,letras,sim,tablet,research
medio,nao,simbolos,nao,notebook,research
pequeno,sim,letras,nao,tablet,streaming
grande,sim,letras,sim,celular,streaming
medio,nao,simbolos,nao,notebook,research
medio,nao,simbolos,sim,tablet,research
pequeno,sim,letras,nao,notebook,streaming
grande,nao,simbolos,nao,tablet,streaming
medio,sim,letras,sim,celular,research
pequeno,sim,simbolos,nao,notebook,research
grande,nao,letras,sim,tablet,streaming
medio,nao,letras,nao,notebook,streaming
medio,sim,simbolos,nao,tablet,research
pequeno,nao,simbolos,sim,celular,research
grande,sim,letras,nao,notebook,streaming
medio,sim,simbolos,sim,tablet,streaming
pequeno,nao,letras,nao,notebook,research
grande,nao,simbolos,nao,tablet,research
medio,sim,letras,sim,celular,streaming
medio,nao,letras,nao,notebook,streaming
pequeno,sim,simbolos,sim,tablet,research
grande,sim,simbolos,nao,notebook,research
medio,nao,letras,nao,tablet,streaming
pequeno,nao,simbolos,sim,celular,streaming
grande,sim,letras,nao,notebook,research
medio,nao,simbolos,sim,tablet,research
medio,sim,letras,nao,notebook,streaming
pequeno,sim,letras,nao,tablet,streaming
grande,nao,simbolos,sim,celular,research
medio,nao,simbolos,nao,notebook,research
pequeno,sim,letras,sim,tablet,streaming
grande,nao,simbolos,nao,notebook,streaming
medio,sim,letras,nao,tablet,research
medio,sim,simbolos,sim,celular,research
pequeno,nao,letras,nao,notebook,streaming
grande,nao,letras,sim,tablet,streaming
medio,sim,simbolos,nao,notebook,research
pequeno,nao,simbolos,nao,tablet,research
grande,sim,letras,sim,celular,streaming
medio,sim,simbolos,nao,notebook,streaming
medio,nao,letras,sim,tablet,research
pequeno,nao,simbolos,nao,notebook,research
grande,sim,letras,nao,tablet,streaming
medio,nao,letras,sim,celular,streaming
pequeno,sim,simbolos,nao,notebook,research
grande,sim,simbolos,sim,tablet,research
medio,nao,letras,nao,notebook,streaming
medio,nao,simbolos,nao,tablet,streaming
pequeno,sim,letras,sim,celular,research
grande,nao,simbolos,nao,notebook,research
medio,sim,letras,sim,tablet,streaming
pequeno,sim,letras,nao,notebook,streaming
grande,nao,simbolos,nao,tablet,research
medio,nao,simbolos,sim,celular,research
medio,sim,letras,nao,notebook,streaming
pequeno,nao,simbolos,sim,tablet,streaming
grande,sim,letras,nao,notebook,research
medio,sim,simbolos,nao,tablet,research
pequeno,nao,letras,sim,celular,streaming
grande,nao,letras,nao,notebook,streaming
medio,sim,simbolos,sim,tablet,research
medio,nao,simbolos,nao,notebook,research
pequeno,sim,letras,nao,tablet,streaming
grande,sim,simbolos,sim,celular,streaming
medio,nao,letras,nao,notebook,research
pequeno,nao,simbolos,sim,tablet,research
grande,sim,letras,nao,notebook,streaming
medio,nao,letras,nao,tablet,streaming
medio,sim,simbolos,sim,celular,research
pequeno,sim,simbolos,nao,notebook,research
grande,nao,letras,sim,tablet,streaming
medio,nao,simbolos,nao,notebook,streaming
pequeno,sim,letras,nao,tablet,research
grande,nao,simbolos,sim,celular,research
medio,sim,letras,nao,notebook,streaming
medio,sim,letras,sim,tablet,streaming
pequeno,nao,simbolos,nao,notebook,research
grande,nao,simbolos,nao,tablet,research
medio,sim,letras,sim,celular,streaming
pequeno,nao,simbolos,nao,notebook,streaming
grande,sim,letras,sim,tablet,research
medio,sim,simbolos,nao,notebook,research
medio,nao,letras,nao,tablet,streaming
pequeno,nao,letras,sim,celular,streaming
grande,sim,simbolos,nao,notebook,research
medio,nao,simbolos,sim,tablet,research
pequeno,sim,letras,nao,notebook,streaming
grande,sim,simbolos,nao,tablet,streaming
medio,nao,letras,sim,celular,research
medio,nao,simbolos,nao,notebook,research
pequeno,sim,letras,sim,tablet,streaming
grande,nao,letras,nao,notebook,streaming
medio,sim,simbolos,nao,tablet,research
pequeno,sim,simbolos,sim,celular,research
grande,nao,letras,nao,notebook,streaming
medio,nao,simbolos,sim,tablet,streaming
medio,sim,letras,nao,notebook,research
pequeno,nao,simbolos,nao,tablet,research
grande,sim,letras,sim,celular,streaming
medio,sim,letras,nao,notebook,streaming
pequeno,nao,simbolos,sim,tablet,research
grande,nao,simbolos,nao,notebook,research
medio,sim,letras,nao,tablet,streaming
medio,nao,simbolos,sim,celular,streaming
pequeno,sim,letras,nao,notebook,research
grande,sim,simbolos,sim,tablet,research
medio,nao,letras,nao,notebook,streaming
pequeno,nao,letras,nao,tablet,streaming
grande,sim,simbolos,sim,celular,research
